,Bin_Edges,Histogram,Weights,Normalized_Weights
147,147,170.0,0.0766965,0.0016661334
148,148,151.0,0.08137884,0.0017678513
149,149,122.0,0.09053575,0.0019667735
150,150,24.0,0.20412414,0.004434336
151,151,21.0,0.21821788,0.0047405045
152,152,28.0,0.18898225,0.004105398
153,153,13.0,0.2773501,0.0060250764
154,154,80.0,0.1118034,0.002428786
155,155,12.0,0.28867513,0.0062710983
156,156,16.0,0.25,0.0054309308
157,157,19.0,0.22941573,0.0049837637
158,158,23.0,0.2085144,0.004529709
159,159,24.0,0.20412414,0.004434336
160,160,12.0,0.28867513,0.0062710983
161,161,18.0,0.23570228,0.005120331
162,162,19.0,0.22941573,0.0049837637
163,163,40.0,0.15811388,0.003434822
164,164,38.0,0.16222142,0.003524053
165,165,17.0,0.24253564,0.005268777
166,166,15.0,0.2581989,0.005609041
167,167,41.0,0.15617377,0.0033926754
168,168,17.0,0.24253564,0.005268777
169,169,16.0,0.25,0.0054309308
170,170,11.0,0.30151135,0.006549949
171,171,17.0,0.24253564,0.005268777
172,172,7.0,0.3779645,0.008210796
173,173,10.0,0.31622776,0.006869644
174,174,5.0,0.4472136,0.009715144
175,175,2.0,0.70710677,0.015360991
176,176,3.0,0.57735026,0.012542197
177,177,1.0,1.0,0.021723723
178,178,1.0,1.0,0.021723723
179,179,10.0,0.31622776,0.006869644
180,180,3.0,0.57735026,0.012542197
181,181,5.0,0.4472136,0.009715144
182,182,15.0,0.2581989,0.005609041
183,183,6.0,0.40824828,0.008868672
184,184,7.0,0.3779645,0.008210796
185,185,1.0,1.0,0.021723723
186,186,5.0,0.4472136,0.009715144
187,187,3.0,0.57735026,0.012542197
188,188,4.0,0.5,0.0108618615
189,189,13.0,0.2773501,0.0060250764
190,190,30.0,0.18257418,0.003966191
191,191,6.0,0.40824828,0.008868672
192,192,7.0,0.3779645,0.008210796
193,193,10.0,0.31622776,0.006869644
194,194,3.0,0.57735026,0.012542197
195,195,4.0,0.5,0.0108618615
196,196,15.0,0.2581989,0.005609041
197,197,20.0,0.2236068,0.004857572
198,198,8.0,0.35355338,0.0076804953
199,199,2.0,0.70710677,0.015360991
200,200,9.0,0.33333334,0.0072412407
201,201,3.0,0.57735026,0.012542197
202,202,1.0,1.0,0.021723723
203,203,9.0,0.33333334,0.0072412407
204,204,9.0,0.33333334,0.0072412407
205,205,5.0,0.4472136,0.009715144
206,206,4.0,0.5,0.0108618615
207,207,10.0,0.31622776,0.006869644
208,208,5.0,0.4472136,0.009715144
210,210,32.0,0.17677669,0.0038402476
211,211,14.0,0.26726124,0.0058059087
212,212,4.0,0.5,0.0108618615
213,213,14.0,0.26726124,0.0058059087
214,214,6.0,0.40824828,0.008868672
215,215,8.0,0.35355338,0.0076804953
216,216,19.0,0.22941573,0.0049837637
217,217,39.0,0.16012816,0.0034785797
218,218,17.0,0.24253564,0.005268777
219,219,14.0,0.26726124,0.0058059087
220,220,15.0,0.2581989,0.005609041
221,221,10.0,0.31622776,0.006869644
222,222,8.0,0.35355338,0.0076804953
223,223,17.0,0.24253564,0.005268777
224,224,40.0,0.15811388,0.003434822
225,225,40.0,0.15811388,0.003434822
226,226,19.0,0.22941573,0.0049837637
227,227,19.0,0.22941573,0.0049837637
228,228,28.0,0.18898225,0.004105398
229,229,25.0,0.2,0.0043447446
230,230,13.0,0.2773501,0.0060250764
231,231,40.0,0.15811388,0.003434822
232,232,13.0,0.2773501,0.0060250764
233,233,12.0,0.28867513,0.0062710983
234,234,12.0,0.28867513,0.0062710983
235,235,13.0,0.2773501,0.0060250764
236,236,20.0,0.2236068,0.004857572
237,237,10.0,0.31622776,0.006869644
238,238,4.0,0.5,0.0108618615
239,239,3.0,0.57735026,0.012542197
240,240,5.0,0.4472136,0.009715144
241,241,15.0,0.2581989,0.005609041
242,242,13.0,0.2773501,0.0060250764
243,243,8.0,0.35355338,0.0076804953
244,244,2.0,0.70710677,0.015360991
245,245,5.0,0.4472136,0.009715144
246,246,2.0,0.70710677,0.015360991
247,247,4.0,0.5,0.0108618615
248,248,5.0,0.4472136,0.009715144
249,249,8.0,0.35355338,0.0076804953
250,250,5.0,0.4472136,0.009715144
251,251,10.0,0.31622776,0.006869644
252,252,7.0,0.3779645,0.008210796
253,253,2.0,0.70710677,0.015360991
